144,19,1
144,19,1
144,19,1
144,19,1
144,19,1
144,19,1
144,19,1
144,19,1
144,19,1
144,19,1
144,19,1
144,19,1
144,19,1
144,59,1
144,85,67
144,86,67
144,29,67
144,65,70
144,66,70
144,64,70
144,67,70
144,19,70
144,19,70
144,19,70
144,19,70
144,19,70
144,19,70
144,19,70
144,19,70
144,19,70
144,19,70
144,19,70
144,19,70
144,69,70
144,76,6
144,75,6
144,55,6
144,56,6
144,45,6
144,46,6
144,35,6
144,36,6
144,25,6
144,25,6
144,26,6
144,15,6
144,16,6
144,17,6
144,27,6
144,37,6
144,47,6
144,57,6
144,77,6
144,49,6
144,68,8
144,67,8
144,66,8
144,65,8
144,64,8
144,105,8
144,85,0
144,19,0
144,19,0
144,19,0
144,19,0
144,19,0
144,19,0
144,19,0
144,19,0
144,19,0
144,19,0
144,19,0
144,19,0
144,19,0
144,69,0
144,46,71
144,106,71
144,104,71
144,107,71
144,19,1
144,19,1
144,19,1
144,19,1
144,19,1
144,19,1
144,19,1
144,19,1
144,19,1
144,19,1
144,19,1
144,19,1
144,19,1
144,59,1
144,85,67
144,86,67
144,29,67
144,65,70
144,66,70
144,64,70
144,67,70
144,19,70
144,19,70
144,19,70
144,19,70
144,19,70
144,19,70
144,19,70
144,19,70
144,19,70
144,19,70
144,19,70
144,19,70
144,69,70
144,76,6
144,75,6
144,55,6
144,56,6
144,45,6
144,46,6
144,35,6
144,36,6
144,25,6
144,25,6
144,26,6
144,15,6
144,16,6
144,17,6
144,27,6
144,37,6
144,47,6
144,57,6
144,77,6
144,49,6
144,68,8
144,67,8
144,66,8
144,65,8
144,64,8
144,105,8
144,85,0
144,19,0
144,19,0
144,19,0
144,19,0
144,19,0
144,19,0
144,19,0
144,19,0
144,19,0
144,19,0
144,19,0
144,19,0
144,19,0
144,69,0
144,46,71
144,106,71
144,72,71
144,72,71
144,72,71
144,72,71
144,105,71
144,72,8
144,72,8
144,72,8
144,105,8
144,72,0
144,105,0
144,104,8
144,69,8
144,69,71
144,27,71
144,26,71
144,16,71
144,17,71
144,25,71
144,25,71
144,24,71
144,23,71
144,22,71
144,21,71
144,11,71
144,12,71
144,13,71
144,106,71
144,21,71
144,11,71
144,105,71
144,21,0
144,11,0
144,69,0
144,37,71
144,47,71
144,57,71
144,67,71
144,68,71
144,66,71
144,105,71
144,106,71
